Streamflow (below node or reach listed)
"Scenario: MySimulation363, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ Foz Rio Urubu Regionalizado 2 (gauge)";"16 \ Reach"
01/07/2018; ;4.37832E-5;4.37832E-5;0;0;4.37832E-6;4.37832E-6;0;0;4.37832E-7;4.37832E-7;3.17639;3.17639;2.93866;2.93866;2.96243;0;2.96243
02/07/2018; ;4.28939E-5;4.28939E-5;0;0;4.28939E-6;4.28939E-6;0;0;4.28939E-7;4.28939E-7;3.16284;3.16284;2.5228;2.5228;2.58681;0;2.58681
03/07/2018; ;4.1984E-5;4.1984E-5;0;0;4.1984E-6;4.1984E-6;0;0;4.1984E-7;4.1984E-7;3.14909;3.14909;2.42669;2.42669;2.49893;0;2.49893
04/07/2018; ;4.11135E-5;4.11135E-5;0;0;4.11135E-6;4.11135E-6;0;0;4.11135E-7;4.11135E-7;3.136;3.136;2.98447;2.98447;2.99962;0;2.99962
05/07/2018; ;4.02701E-5;4.02701E-5;0;0;4.02701E-6;4.02701E-6;0;0;4.02701E-7;4.02701E-7;3.12339;3.12339;2.89604;2.89604;2.91878;0;2.91878
06/07/2018; ;3.95255E-5;3.95255E-5;0;0;3.95255E-6;3.95255E-6;0;0;3.95255E-7;3.95255E-7;3.11231;3.11231;2.45821;2.45821;2.52362;0;2.52362
07/07/2018; ;3.87836E-5;3.87836E-5;0;0;3.87836E-6;3.87836E-6;0;0;3.87836E-7;3.87836E-7;3.10136;3.10136;2.57803;2.57803;2.63037;0;2.63037
08/07/2018; ;3.79878E-5;3.79878E-5;0;0;3.79878E-6;3.79878E-6;0;0;3.79878E-7;3.79878E-7;3.08967;3.08967;3.08315;3.08315;3.0838;0;3.0838
09/07/2018; ;3.72113E-5;3.72113E-5;0;0;3.72113E-6;3.72113E-6;0;0;3.72113E-7;3.72113E-7;3.07831;3.07831;2.37126;2.37126;2.44197;0;2.44197
10/07/2018; ;3.64296E-5;3.64296E-5;0;0;3.64296E-6;3.64296E-6;0;0;3.64296E-7;3.64296E-7;3.06693;3.06693;2.96591;2.96591;2.97601;0.00310345;2.97601
11/07/2018; ;3.56676E-5;3.56676E-5;0;0;3.56676E-6;3.56676E-6;0;0;3.56676E-7;3.56676E-7;3.05589;3.05589;2.74558;2.74558;2.77662;0;2.77662
12/07/2018; ;3.49502E-5;3.49502E-5;0;0;3.49502E-6;3.49502E-6;0;0;3.49502E-7;3.49502E-7;3.04556;3.04556;2.3219;2.3219;2.39427;0;2.39427
13/07/2018; ;3.42451E-5;3.42451E-5;0;0;3.42451E-6;3.42451E-6;0;0;3.42451E-7;3.42451E-7;3.03545;3.03545;2.45091;2.45091;2.50937;0;2.50937
14/07/2018; ;3.35183E-5;3.35183E-5;0;0;3.35183E-6;3.35183E-6;0;0;3.35183E-7;3.35183E-7;3.02505;3.02505;2.29299;2.29299;2.3662;0;2.3662
15/07/2018; ;3.28046E-5;3.28046E-5;1.32841E-5;1.32841E-5;1.52361E-5;1.52361E-5;0;0;1.52361E-6;1.52361E-6;3.01488;3.01488;3.01488;3.01488;3.01488;0;3.01488
16/07/2018; ;3.21091E-5;3.21091E-5;1.56385E-5;1.56385E-5;1.72856E-5;1.72856E-5;0;0;1.72856E-6;1.72856E-6;3.005;3.005;3.005;3.005;3.005;1.48921;3.005
17/07/2018; ;3.14192E-5;3.14192E-5;0;0;3.14192E-6;3.14192E-6;0;0;3.14192E-7;3.14192E-7;2.99522;2.99522;2.62094;2.62094;2.65836;0;2.65836
18/07/2018; ;3.07439E-5;3.07439E-5;0;0;3.07439E-6;3.07439E-6;0;0;3.07439E-7;3.07439E-7;2.98569;2.98569;2.61825;2.61825;2.655;0;2.655
19/07/2018; ;3.00852E-5;3.00852E-5;0;0;3.00852E-6;3.00852E-6;0;0;3.00852E-7;3.00852E-7;2.97642;2.97642;2.63024;2.63024;2.66486;0;2.66486
20/07/2018; ;2.94493E-5;2.94493E-5;0;0;2.94493E-6;2.94493E-6;0;0;2.94493E-7;2.94493E-7;2.9675;2.9675;2.81606;2.81606;2.83121;0;2.83121
21/07/2018; ;2.88152E-5;2.88152E-5;0;0;2.88152E-6;2.88152E-6;0;0;2.88152E-7;2.88152E-7;2.95863;2.95863;2.77445;2.77445;2.79287;0;2.79287
22/07/2018; ;2.81803E-5;2.81803E-5;0;0;2.81803E-6;2.81803E-6;0;0;2.81803E-7;2.81803E-7;2.94973;2.94973;2.56385;2.56385;2.60244;0;2.60244
23/07/2018; ;2.75527E-5;2.75527E-5;0;0;2.75527E-6;2.75527E-6;0;0;2.75527E-7;2.75527E-7;2.94097;2.94097;2.68259;2.68259;2.70843;0;2.70843
24/07/2018; ;2.69619E-5;2.69619E-5;0;0;2.69619E-6;2.69619E-6;0;0;2.69619E-7;2.69619E-7;2.93275;2.93275;2.3256;2.3256;2.38632;0;2.38632
25/07/2018; ;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.63998E-5;2.925;2.925;2.925;2.925;2.925;0;2.925
26/07/2018; ;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.5839E-5;2.91724;2.91724;2.91724;2.91724;2.91724;0;2.91724
27/07/2018; ;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.52921E-5;2.90968;2.90968;2.90968;2.90968;2.90968;0;2.90968
28/07/2018; ;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.474E-5;2.90205;2.90205;2.90205;2.90205;2.90205;0;2.90205
29/07/2018; ;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.41836E-5;2.89434;2.89434;2.89434;2.89434;2.89434;0;2.89434
30/07/2018; ;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.36877E-5;2.88754;2.88754;2.88754;2.88754;2.88754;0;2.88754
31/07/2018; ;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.32501E-5;2.88162;2.88162;2.88162;2.88162;2.88162;0;2.88162
01/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.40684;2.40684;2.40684;2.40684;2.40684;0;2.40684
02/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.41057;2.41057;2.41057;2.41057;2.41057;0;2.41057
03/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.41405;2.41405;2.41405;2.41405;2.41405;0;2.41405
04/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.41746;2.41746;2.41746;2.41746;2.41746;0;2.41746
05/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.42078;2.42078;2.42078;2.42078;2.42078;0;2.42078
06/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.42401;2.42401;2.42401;2.42401;2.42401;0;2.42401
07/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.42717;2.42717;2.42717;2.42717;2.42717;0;2.42717
08/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.43025;2.43025;2.43025;2.43025;2.43025;0;2.43025
09/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.43325;2.43325;2.43325;2.43325;2.43325;0;2.43325
10/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.43617;2.43617;2.43617;2.43617;2.43617;0;2.43617
11/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.43903;2.43903;2.43903;2.43903;2.43903;0;2.43903
12/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.44182;2.44182;2.44182;2.44182;2.44182;0;2.44182
13/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.44453;2.44453;2.44453;2.44453;2.44453;0.415789;2.44453
14/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.44717;2.44717;2.44717;2.44717;2.44717;0;2.44717
15/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.50345;2.50345;2.50345;2.50345;2.50345;0;2.50345
16/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.54909;2.54909;2.54909;2.54909;2.54909;0;2.54909
17/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.45481;2.45481;2.45481;2.45481;2.45481;0;2.45481
18/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.45722;2.45722;2.45722;2.45722;2.45722;0;2.45722
19/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.4596;2.4596;2.4596;2.4596;2.4596;0;2.4596
20/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.4619;2.4619;2.4619;2.4619;2.4619;0;2.4619
21/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.46412;2.46412;2.46412;2.46412;2.46412;0.335436;2.46412
22/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.46628;2.46628;2.46628;2.46628;2.46628;0;2.46628
23/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.46838;2.46838;2.46838;2.46838;2.46838;0;2.46838
24/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.47042;2.47042;2.47042;2.47042;2.47042;0;2.47042
25/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.4724;2.4724;2.4724;2.4724;2.4724;0;2.4724
26/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.47431;2.47431;2.47431;2.47431;2.47431;0;2.47431
27/08/2018; ;0;0;0;0;0;0;0;0;0;0;2.47618;2.47618;2.47618;2.47618;2.47618;0;2.47618
